Type,Issue,Topic,Author,Examples,Solution,Electoral Commission website,Electoral Act,Independent Electoral Review,Andrew Geddis' Textbook,General Google
core,"People who are blind or vision-impaired 
",ENROLMENT,,,,,,,,
core,"People who are blind or vision-impaired 
",TURNOUT,,Need help reading and marking the paper to vote,,"You may bring a support person to assist you that can help you vote, read out the voting paper and mark the paper if necessary. Furthermore, a telephone dictation voting service is available for blind and vision-impaired voters and voters who have a physical disability that prevents them from marking the voting paper independently and in secret. You need to register to use this service, even if you’ve used it at previous elections.https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 
https://vote.nz/voting/get-help-to-vote/need-help-to-vote",,,,
core,Break this down more - e.g. needs help to mark the paper,General,,,,,"Electoral Act s 170(1) - any elector who is wholly or partially blind, or (whether because of physical handicap or otherwise) is unable to read or write or has severe difficulty in reading or writing, or is not sufficiently familiar with the English language to vote without assistance, may vote in accordance with the provisions of this section.",,,
core,Break this down more - e.g. needs help to mark the paper,ENROLMENT,,,,,,,,
core,Break this down more - e.g. needs help to mark the paper,TURNOUT,,,,,,,,
core,People with mental impairments,General,,,,,Electoral Act s 85 Registration of persons who have physical or mental impairment - may apply for a representative under s 83.,,,
core,People with mental impairments,ENROLMENT,,,,,,,,
core,People with mental impairments,TURNOUT,,,,,,,,
core,Can't leave care/the house,General,,,,,"Electoral Act Special Voting s 61(d) the person is, by reason of illness, infirmity, pregnancy, or recent childbirth, unable to attend to vote and any polling place in the district. 
S 61(f) ... not practicable for that person to vote at the polling place in the district without incurring hardship or serious inconvenience.""",,,
core,Can't leave care/the house,ENROLMENT,,,,,,,,
core,Can't leave care/the house,TURNOUT,,,,Authorise someone to collect your voting papers from a voting place for you - https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place,,,,
core,I haven’t voted in a long time or updated my details in ages,General,,,,,,,,
core,I haven’t voted in a long time or updated my details in ages,ENROLMENT,,,,Update details if already enrolled... Form of ID needed? Check to see if details correct - digitally and via email/phone?,,,,
core,I haven’t voted in a long time or updated my details in ages,TURNOUT,,,,,,,,
core,"People with changes to their legal name e.g. through marriage, divorce, adoption, reclaiming ingoa Māori, other situations",General,,,,,"Electoral Act a 83(2)(a) - application of registration elector must state their full name on the application
Section 94?",PG 271 - Electoral Commission advised that the use of A preferred name for enrolment is already allowed as the Electoral Act does not specifically require a person’s legal name on an enrolment application – it only requires a full name.,,
core,"People with changes to their legal name e.g. through marriage, divorce, adoption, reclaiming ingoa Māori, other situations",ENROLMENT,,,,Update details if already enrolled... Form of ID needed?,,,,
core,"People with changes to their legal name e.g. through marriage, divorce, adoption, reclaiming ingoa Māori, other situations",TURNOUT,,,,,,,,
core,People with no ID,General,,,,,,,,
core,People with no ID,ENROLMENT,,"I don't have a license, passport, or kiwi access card, can I still enrol and vote without any of these?",,"To enrol online you need a New Zealand drivers license, or a New Zealand passport, or a RealMe verified identity login - if you do not have any of these you can still enrol to vote by either completing an enrolment form online and having it emailed to you to sign and then returning it through uploading, emailing or posting the form; or you can print a form yourself or have one sent to you, then complete it and upload it, email it or post it - https://vote.nz/enrolling/enrol-or-update/other-ways-to-enrol ",,,,
core,People with no ID,TURNOUT,,"What if I forget to take my ID when I go to vote, will I still be allowed vote?",,"You do not need to take any type of ID to vote, just turn up. You can bring your EasyVote card to make it faster, but if you don't have one that's ok as well, your details will be confirmed at the voting place - https://vote.nz/voting/how-to-vote/facts-about-new-zealand-elections",,,,
core,Australians residing in New Zealand,General,,"I am an Australian living in New Zealand, can I vote?",,,Electoral Act s 73 - you are a resident for electoral purposes if you are living in NZ and not lawfully required to leave within a specified time. ,,,
core,Australians residing in New Zealand,ENROLMENT,,,,You can enrol and vote once you have lived in New Zealand continously for 12 months or more - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote,,,,
core,Australians residing in New Zealand,TURNOUT,,,,,,,,
core,I am 17 but will be 18 by/on election day ,General,,,,,Electoral Act s 82(2) - you are able to be qualified as an elector before turning 18.,,,
core,I am 17 but will be 18 by/on election day ,ENROLMENT,,I am 17 years old now but between the final enrolment date and the election date I will turn 18 years old,,"You can complete an enrolment form while you are 17, and on your 18th birthday you will be automatically enrolled and ready to vote - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote",,,,
core,I am 17 but will be 18 by/on election day ,TURNOUT,,"I am 17 years old now but will be 18 on election day, can I still vote and how?",,"Even if you only turn 18 on election day, you can still vote as normal - as long as you enrolled beforehand. If you have enrolled before 4 October you will cast a normal vote on election day. If you enrolled after 4 October but before 25 October, you will cast a Special vote at the voting place. - 
https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote 
https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2",,,,
summary,People on the Unpublished roll,General,R,,,,,,,
